Iteración,x3,f(x3),Error Relativo,Error Porcentual
3,(6.5238416230051435-1.1593150629277178j),(0.0053903740502337216+0.008097010069471604j),2.3323692525282507,35.20000183746526
4,(6.933833933555823-1.6280458730956338j),(0.0011970095880901664+0.006835035066329424j),0.6227377193581226,8.743368681655502
5,(7.53896234009671-2.131831251992108j),(-0.0011735701449088053+0.003998952679347884j),0.7873881484963925,10.050162988906465
6,(8.294235090610062-2.7746405707817257j),(-0.0016863333190330928+0.0013911568695522125j),0.9917866443902023,11.339855097976887
7,(8.91553119634344-3.3078958432788554j),(-0.0012542553171219048+0.00023989057769080904j),0.8187612818431569,8.610011705241542
8,(9.553010845851922-3.8525361079044944j),(-0.0006923190565778621-0.00023529145740635535j),0.8384588966603798,8.139915347161805
9,(10.19195095325261-4.408567121128563j),(-0.0002718789746069122-0.0003149882780447232j),0.8470035115111297,7.6275264594748355
10,(10.81526700020798-4.948251047396499j),(-4.5885028844684344e-05-0.00023449832682430208j),0.8244887110591905,6.932266855938986
11,(11.43528068456578-5.488432258398404j),(4.423383233176854e-05-0.00012975009161558484j),0.8223215365721729,6.483046232604413
12,(12.050753017667638-6.0279094831250815j),(5.9208152763061376e-05-5.18344846172017e-05j),0.8184386774906491,6.074078972072074
13,(12.661467449951978-6.5641813301357415j),(4.4346935177916895e-05-8.864641628876029e-06j),0.8127481846775226,5.698744891503247
14,(13.268618733345473-7.09947755163724j),(2.4640868024268994e-05+8.302502040283799e-06j),0.8094286414997616,5.378782006183867
15,(13.872469610149166-7.633685300604574j),(9.900313741057514e-06+1.1211946433346438e-05j),0.8062343334746626,5.091761377337487
16,(14.473378794249962-8.166728397035483j),(1.718315883338699e-06+8.434362538910368e-06j),0.8032601012059144,4.833532971256907
17,(15.071663144211454-8.698962597902954j),(-1.5658492936505407e-06+4.7012409012072105e-06j),0.8007605184959367,4.601562966947808
18,(15.667575383004273-9.230456337454369j),(-2.1324900018972255e-06+1.8958448560563772e-06j),0.7984967072727456,4.391096140860742
19,(16.261343320471067-9.761286559314396j),(-1.6093726535050358e-06+3.331339242173646e-07j),0.796455327060806,4.1993565450148145
20,(16.853154490248535-10.291554646705153j),(-8.991889462359818e-07-2.965408411998649e-07j),0.7946223663970367,4.02401096366607
21,(17.443177151939782-10.821321887560677j),(-3.636314799559846e-07-4.0672277711953334e-07j),0.7929565377704499,3.862957497058321
22,(18.03155856351519-11.350643848406625j),(-6.454416447194202e-08-3.07723177214583e-07j),0.7914381995590499,3.7145089793275763
23,(18.61842673859168-11.879570781565318j),(5.633114129520963e-08-1.7225194352350874e-07j),0.7900493374076509,3.577228343068993
24,(19.203896260732883-12.408143444296075j),(7.771942290899537e-08-6.981526791181606e-08j),0.7887734916581132,3.449884842084023
25,(19.788068890975463-12.936397464323186j),(5.892123906154975e-08-1.249568960560248e-08j),0.7875975949679753,3.3314270964041013
26,(20.371035391237292-13.464363928660331j),(3.303145990922127e-08+1.072509378230663e-08j),0.786510348242279,3.22094734081654
27,(20.952877421348017-13.992069734339513j),(1.3412634736340112e-08+1.4871186978948548e-08j),0.7855021103414573,3.117658378347522
