0,xi,f(xi),erR,errRP
1,-1.0,1.0,1,100.0
2,0.0,2.0,1,100.0
3,1.0,3.0,1,100.0
4,-2.0,-6.0,1.5,150.0
5,-0.7320508075688772,1.6076951545867364,1.7320508075688776,173.20508075688775
6,-1.0947875877430742,0.6878315396128591,0.33133073870702706,33.13307387070271
7,-1.2473697893459375,0.05917818810641906,0.12232314980377253,12.232314980377252
8,-1.260155476302536,-0.0011165939109654133,0.010146118631419553,1.0146118631419554
9,-1.259920947822941,4.860872382383974e-07,0.00018614539269332054,0.018614539269332056
10,-1.2599210498948101,3.0020430585864233e-13,8.10144962556351e-08,8.10144962556351e-06
